variety,type,origin,alpha,beta,cohumulone,myrcene,caryophyllene,humulene,farnesene,total_oil,aroma
First Gold,Dual Purpose,United Kingdom,6.5,2.5,31.5,27.5,6.5,22,NA,0.5,apricot
First Gold,Dual Purpose,United Kingdom,6.5,2.5,31.5,27.5,6.5,22,NA,0.5,geranium
First Gold,Dual Purpose,United Kingdom,6.5,2.5,31.5,27.5,6.5,22,NA,0.5,magnolia
Fuggle,Dual Purpose,United Kingdom,4.25,2,29,35.5,10,30,6,0.5,wood
Fuggle,Dual Purpose,United Kingdom,4.25,2,29,35.5,10,30,6,0.5,mint
Fuggle,Dual Purpose,United Kingdom,4.25,2,29,35.5,10,30,6,0.5,grass
Fuggle,Dual Purpose,United Kingdom,4.25,2,29,35.5,10,30,6,0.5,fruit
Fuggle,Dual Purpose,United Kingdom,4.25,2,29,35.5,10,30,6,0.5,mint
Fuggle,Dual Purpose,United Kingdom,4.25,2,29,35.5,10,30,6,0.5,grass
Fuggle,Dual Purpose,United Kingdom,4.25,2,29,35.5,10,30,6,0.5,floral
Galaxy,Dual Purpose,Australia,13.5,5.5,37,51,8,1.5,3,4,distinct
Galaxy,Dual Purpose,Australia,13.5,5.5,37,51,8,1.5,3,4,passionfruit
Galaxy,Dual Purpose,Australia,13.5,5.5,37,51,8,1.5,3,4,citrus
Glacier,Dual Purpose,United States,6,7,12,47.5,8,30,0.5,0.5,plum
Glacier,Dual Purpose,United States,6,7,12,47.5,8,30,0.5,0.5,blackberry
Glacier,Dual Purpose,United States,6,7,12,47.5,8,30,0.5,0.5,wood
Hallertau Aroma,Dual Purpose,New Zealand,8.5,8,30,55,5.5,12.5,4.5,1.5,floral
Hallertau Aroma,Dual Purpose,New Zealand,8.5,8,30,55,5.5,12.5,4.5,1.5,fresh
Hallertau Aroma,Dual Purpose,New Zealand,8.5,8,30,55,5.5,12.5,4.5,1.5,zest
Hallertau Aroma,Dual Purpose,New Zealand,8.5,8,30,55,5.5,12.5,4.5,1.5,lime
HBC 431,Dual Purpose,United States,15,4.5,18,35,13.5,24,NA,1,peach
HBC 431,Dual Purpose,United States,15,4.5,18,35,13.5,24,NA,1,berry
HBC 431,Dual Purpose,United States,15,4.5,18,35,13.5,24,NA,1,tropical
HBC 431,Dual Purpose,United States,15,4.5,18,35,13.5,24,NA,1,fruit
HBC 431,Dual Purpose,United States,15,4.5,18,35,13.5,24,NA,1,citrus
HBC 431,Dual Purpose,United States,15,4.5,18,35,13.5,24,NA,1,herbal
HBC 438,Dual Purpose,United States,13,5.5,24,63.5,9.5,8,0.5,3,peachy
HBC 438,Dual Purpose,United States,13,5.5,24,63.5,9.5,8,0.5,3,stone
HBC 438,Dual Purpose,United States,13,5.5,24,63.5,9.5,8,0.5,3,fruit
HBC 438,Dual Purpose,United States,13,5.5,24,63.5,9.5,8,0.5,3,tropical
HBC 438,Dual Purpose,United States,13,5.5,24,63.5,9.5,8,0.5,3,pineapple
HBC 438,Dual Purpose,United States,13,5.5,24,63.5,9.5,8,0.5,3,lime
HBC 438,Dual Purpose,United States,13,5.5,24,63.5,9.5,8,0.5,3,herbal
HBC 438,Dual Purpose,United States,13,5.5,24,63.5,9.5,8,0.5,3,cedar
HBC 438,Dual Purpose,United States,13,5.5,24,63.5,9.5,8,0.5,3,coconut
HBC 438,Dual Purpose,United States,13,5.5,24,63.5,9.5,8,0.5,3,distinct
Helga,Dual Purpose,Australia,6,6,21.5,7,12.5,45,0.5,0.5,noble
Helga,Dual Purpose,Australia,6,6,21.5,7,12.5,45,0.5,0.5,herbal
Helga,Dual Purpose,Australia,6,6,21.5,7,12.5,45,0.5,0.5,earth
Herald,Dual Purpose,United Kingdom,12,4.5,36,40,7,15,0.5,1,orange
Herald,Dual Purpose,United Kingdom,12,4.5,36,40,7,15,0.5,1,grapefruit
Horizon,Dual Purpose,United States,13,7,19.5,67.5,5.5,9,NA,1.5,floral
Horizon,Dual Purpose,United States,13,7,19.5,67.5,5.5,9,NA,1.5,spicy
Kohatu,Dual Purpose,New Zealand,6.5,4.5,21,35.5,11,36.5,0.5,1,fresh
Kohatu,Dual Purpose,New Zealand,6.5,4.5,21,35.5,11,36.5,0.5,1,tropical
Kohatu,Dual Purpose,New Zealand,6.5,4.5,21,35.5,11,36.5,0.5,1,fruit
Kohatu,Dual Purpose,New Zealand,6.5,4.5,21,35.5,11,36.5,0.5,1,excellent
Kohatu,Dual Purpose,New Zealand,6.5,4.5,21,35.5,11,36.5,0.5,1,finish
Kohatu,Dual Purpose,New Zealand,6.5,4.5,21,35.5,11,36.5,0.5,1,bitter
Loral®,Dual Purpose,United States,11.5,4.5,22.5,55,5,17,0.5,1.5,floral
Loral®,Dual Purpose,United States,11.5,4.5,22.5,55,5,17,0.5,1.5,peppery
Loral®,Dual Purpose,United States,11.5,4.5,22.5,55,5,17,0.5,1.5,lemon
Loral®,Dual Purpose,United States,11.5,4.5,22.5,55,5,17,0.5,1.5,citrus
Loral®,Dual Purpose,United States,11.5,4.5,22.5,55,5,17,0.5,1.5,dark
Loral®,Dual Purpose,United States,11.5,4.5,22.5,55,5,17,0.5,1.5,fruit
Loral®,Dual Purpose,United States,11.5,4.5,22.5,55,5,17,0.5,1.5,herbal
Marynka,Dual Purpose,Czech Republic,10.5,11.5,29.5,29.5,11.5,29.5,1.5,1.5,earth
Marynka,Dual Purpose,Czech Republic,10.5,11.5,29.5,29.5,11.5,29.5,1.5,1.5,herbal
Mount Rainier,Dual Purpose,United States,6,9,22,55,8,17.5,0.5,1.5,noble
Mount Rainier,Dual Purpose,United States,6,9,22,55,8,17.5,0.5,1.5,licorice
Mount Rainier,Dual Purpose,United States,6,9,22,55,8,17.5,0.5,1.5,floral
Nelson Sauvin,Dual Purpose,New Zealand,13,7,24,55,6.5,20,0.5,1.5,white
Nelson Sauvin,Dual Purpose,New Zealand,13,7,24,55,6.5,20,0.5,1.5,wine
Nelson Sauvin,Dual Purpose,New Zealand,13,7,24,55,6.5,20,0.5,1.5,fruity
Nelson Sauvin,Dual Purpose,New Zealand,13,7,24,55,6.5,20,0.5,1.5,gooseberry
Nelson Sauvin,Dual Purpose,New Zealand,13,7,24,55,6.5,20,0.5,1.5,grape
Northdown,Dual Purpose,United Kingdom,7.5,4.5,27,26,15,42.5,0.5,1.5,spice
Northdown,Dual Purpose,United Kingdom,7.5,4.5,27,26,15,42.5,0.5,1.5,cedar
Northdown,Dual Purpose,United Kingdom,7.5,4.5,27,26,15,42.5,0.5,1.5,pine
Northdown,Dual Purpose,United Kingdom,7.5,4.5,27,26,15,42.5,0.5,1.5,floral
Northdown,Dual Purpose,United Kingdom,7.5,4.5,27,26,15,42.5,0.5,1.5,berry
Northern Brewer,Dual Purpose,Germany,8.25,4,30.75,37.5,14,35.75,0.5,1.25,mint
Northern Brewer,Dual Purpose,Germany,8.25,4,30.75,37.5,14,35.75,0.5,1.25,pine
Northern Brewer,Dual Purpose,Germany,8.25,4,30.75,37.5,14,35.75,0.5,1.25,grass
Northern Brewer,Dual Purpose,Germany,8.25,4,30.75,37.5,14,35.75,0.5,1.25,evergreen
Northern Brewer,Dual Purpose,Germany,8.25,4,30.75,37.5,14,35.75,0.5,1.25,wood
Northern Brewer,Dual Purpose,Germany,8.25,4,30.75,37.5,14,35.75,0.5,1.25,mint
Northern Brewer,Dual Purpose,United States,8.25,4,30.75,37.5,14,35.75,0.5,1.25,mint
Northern Brewer,Dual Purpose,United States,8.25,4,30.75,37.5,14,35.75,0.5,1.25,pine
Northern Brewer,Dual Purpose,United States,8.25,4,30.75,37.5,14,35.75,0.5,1.25,grass
Northern Brewer,Dual Purpose,United States,8.25,4,30.75,37.5,14,35.75,0.5,1.25,evergreen
Northern Brewer,Dual Purpose,United States,8.25,4,30.75,37.5,14,35.75,0.5,1.25,wood
Northern Brewer,Dual Purpose,United States,8.25,4,30.75,37.5,14,35.75,0.5,1.25,mint
Opal,Dual Purpose,Australia,13.5,3.5,31,37.5,10,22.5,NA,0.5,spice
Opal,Dual Purpose,Australia,13.5,3.5,31,37.5,10,22.5,NA,0.5,pepper
Opal,Dual Purpose,Australia,13.5,3.5,31,37.5,10,22.5,NA,0.5,citrus
Opal,Dual Purpose,Australia,13.5,3.5,31,37.5,10,22.5,NA,0.5,fruity
Opal,Dual Purpose,Australia,13.5,3.5,31,37.5,10,22.5,NA,0.5,floral
Opal,Dual Purpose,Australia,13.5,3.5,31,37.5,10,22.5,NA,0.5,herbal
Orion,Dual Purpose,Germany,7,3.5,28.5,26.5,11,37,0.5,0.5,NA
Outeniqua,Dual Purpose,South Africa,12.5,4.5,29,40.5,9.5,30.5,0.5,1,strong
Outeniqua,Dual Purpose,South Africa,12.5,4.5,29,40.5,9.5,30.5,0.5,1,punchy
Outeniqua,Dual Purpose,South Africa,12.5,4.5,29,40.5,9.5,30.5,0.5,1,hoppy
Pacific Jade,Dual Purpose,New Zealand,13,7.5,24,33.5,10,32,0.5,1,fresh
Pacific Jade,Dual Purpose,New Zealand,13,7.5,24,33.5,10,32,0.5,1,citrus
Pacific Jade,Dual Purpose,New Zealand,13,7.5,24,33.5,10,32,0.5,1,spice
Pacific Jade,Dual Purpose,New Zealand,13,7.5,24,33.5,10,32,0.5,1,bold
Pacific Jade,Dual Purpose,New Zealand,13,7.5,24,33.5,10,32,0.5,1,herbal
Pacific Jade,Dual Purpose,New Zealand,13,7.5,24,33.5,10,32,0.5,1,pepper
Perle,Dual Purpose,Germany,7,4,29.75,35.5,10,32.25,0.5,0.25,herbal
Perle,Dual Purpose,Germany,7,4,29.75,35.5,10,32.25,0.5,0.25,spicy
Perle,Dual Purpose,Germany,7,4,29.75,35.5,10,32.25,0.5,0.25,floral
Perle,Dual Purpose,Germany,7,4,29.75,35.5,10,32.25,0.5,0.25,fruit
Perle,Dual Purpose,Germany,7,4,29.75,35.5,10,32.25,0.5,0.25,mint
Perle,Dual Purpose,Germany,7,4,29.75,35.5,10,32.25,0.5,0.25,floral
Perle,Dual Purpose,Germany,7,4,29.75,35.5,10,32.25,0.5,0.25,spicy
Perle,Dual Purpose,United States,7,4,29.75,35.5,10,32.25,0.5,0.25,herbal
Perle,Dual Purpose,United States,7,4,29.75,35.5,10,32.25,0.5,0.25,spicy
Perle,Dual Purpose,United States,7,4,29.75,35.5,10,32.25,0.5,0.25,floral
Perle,Dual Purpose,United States,7,4,29.75,35.5,10,32.25,0.5,0.25,fruit
Perle,Dual Purpose,United States,7,4,29.75,35.5,10,32.25,0.5,0.25,mint
Perle,Dual Purpose,United States,7,4,29.75,35.5,10,32.25,0.5,0.25,floral
Perle,Dual Purpose,United States,7,4,29.75,35.5,10,32.25,0.5,0.25,spicy
Phoenix,Dual Purpose,United Kingdom,13.5,4,26,28,9,28.5,1.5,1.5,spicy
Phoenix,Dual Purpose,United Kingdom,13.5,4,26,28,9,28.5,1.5,1.5,floral
Phoenix,Dual Purpose,United Kingdom,13.5,4,26,28,9,28.5,1.5,1.5,chocolate
Pilgrim,Dual Purpose,United Kingdom,11.5,4.5,37,30,7.5,17,0.5,1.5,fruit
Pilgrim,Dual Purpose,United Kingdom,11.5,4.5,37,30,7.5,17,0.5,1.5,spice
Pilgrim,Dual Purpose,United Kingdom,11.5,4.5,37,30,7.5,17,0.5,1.5,lemon
Pilgrim,Dual Purpose,United Kingdom,11.5,4.5,37,30,7.5,17,0.5,1.5,grapefruit
Pilgrim,Dual Purpose,United Kingdom,11.5,4.5,37,30,7.5,17,0.5,1.5,pear
Pilgrim,Dual Purpose,United Kingdom,11.5,4.5,37,30,7.5,17,0.5,1.5,berry
Pioneer,Dual Purpose,United Kingdom,9,3.5,38,33.5,7.5,23,0.5,1,lemon
Pioneer,Dual Purpose,United Kingdom,9,3.5,38,33.5,7.5,23,0.5,1,grapefruit
Pioneer,Dual Purpose,United Kingdom,9,3.5,38,33.5,7.5,23,0.5,1,herbal
Pioneer,Dual Purpose,United Kingdom,9,3.5,38,33.5,7.5,23,0.5,1,cedar
Polaris,Dual Purpose,Germany,20.5,5,25,50,10.5,27.5,0.5,4.5,mint
Polaris,Dual Purpose,Germany,20.5,5,25,50,10.5,27.5,0.5,4.5,pineapple
Polaris,Dual Purpose,Germany,20.5,5,25,50,10.5,27.5,0.5,4.5,menthol
Pride of Ringwood,Dual Purpose,Australia,10.5,5,36,37.5,7.5,5.5,0.5,1.5,cedar
Pride of Ringwood,Dual Purpose,Australia,10.5,5,36,37.5,7.5,5.5,0.5,1.5,oak
Pride of Ringwood,Dual Purpose,Australia,10.5,5,36,37.5,7.5,5.5,0.5,1.5,herbal
Progress,Dual Purpose,United Kingdom,6.5,2,30.5,32.5,13.5,43.5,0.5,0,grass
Progress,Dual Purpose,United Kingdom,6.5,2,30.5,32.5,13.5,43.5,0.5,0,mint
Progress,Dual Purpose,United Kingdom,6.5,2,30.5,32.5,13.5,43.5,0.5,0,honey
Progress,Dual Purpose,United Kingdom,6.5,2,30.5,32.5,13.5,43.5,0.5,0,blackcurrant
Rakau,Dual Purpose,New Zealand,10.5,5.5,24,56,5,16,4.5,2,stone
Rakau,Dual Purpose,New Zealand,10.5,5.5,24,56,5,16,4.5,2,fruit
Rakau,Dual Purpose,New Zealand,10.5,5.5,24,56,5,16,4.5,2,fig
Rakau,Dual Purpose,New Zealand,10.5,5.5,24,56,5,16,4.5,2,fresh
Rakau,Dual Purpose,New Zealand,10.5,5.5,24,56,5,16,4.5,2,orchard
Rakau,Dual Purpose,New Zealand,10.5,5.5,24,56,5,16,4.5,2,fruits
Rakau,Dual Purpose,New Zealand,10.5,5.5,24,56,5,16,4.5,2,apricot
Rakau,Dual Purpose,New Zealand,10.5,5.5,24,56,5,16,4.5,2,resin
Rakau,Dual Purpose,New Zealand,10.5,5.5,24,56,5,16,4.5,2,pine
Simcoe®,Dual Purpose,United States,13,4.5,17.5,62.5,6.5,12.5,0.5,2,earth
Simcoe®,Dual Purpose,United States,13,4.5,17.5,62.5,6.5,12.5,0.5,2,passion
Simcoe®,Dual Purpose,United States,13,4.5,17.5,62.5,6.5,12.5,0.5,2,fruit
Simcoe®,Dual Purpose,United States,13,4.5,17.5,62.5,6.5,12.5,0.5,2,pine
Simcoe®,Dual Purpose,United States,13,4.5,17.5,62.5,6.5,12.5,0.5,2,berry
Smaragd,Dual Purpose,Germany,5,4,15.5,30,11.5,NA,0.5,0,floral
Smaragd,Dual Purpose,Germany,5,4,15.5,30,11.5,NA,0.5,0,spicy
Smaragd,Dual Purpose,Germany,5,4,15.5,30,11.5,NA,0.5,0,fruity
Sorachi Ace,Dual Purpose,United States,12.5,6.5,26.5,50,9,23,3.5,2,lemon
Sorachi Ace,Dual Purpose,United States,12.5,6.5,26.5,50,9,23,3.5,2,lime
Sorachi Ace,Dual Purpose,United States,12.5,6.5,26.5,50,9,23,3.5,2,dill
Southern Brewer,Dual Purpose,South Africa,9.5,3.5,39.5,41,9.5,19,NA,1,NA
Southern Cross,Dual Purpose,New Zealand,13,5.5,26.5,62.5,4,12,4,1.5,citrus
Southern Cross,Dual Purpose,New Zealand,13,5.5,26.5,62.5,4,12,4,1.5,tropical
Southern Cross,Dual Purpose,New Zealand,13,5.5,26.5,62.5,4,12,4,1.5,fruits
Southern Cross,Dual Purpose,New Zealand,13,5.5,26.5,62.5,4,12,4,1.5,lemon
Southern Cross,Dual Purpose,New Zealand,13,5.5,26.5,62.5,4,12,4,1.5,zest
Southern Cross,Dual Purpose,New Zealand,13,5.5,26.5,62.5,4,12,4,1.5,lime
Southern Cross,Dual Purpose,New Zealand,13,5.5,26.5,62.5,4,12,4,1.5,pine
Southern Cross,Dual Purpose,New Zealand,13,5.5,26.5,62.5,4,12,4,1.5,spice
Southern Promise,Dual Purpose,South Africa,10,4,21,21.5,9,25.5,0.5,0,wood
Southern Promise,Dual Purpose,South Africa,10,4,21,21.5,9,25.5,0.5,0,earth
Southern Promise,Dual Purpose,South Africa,10,4,21,21.5,9,25.5,0.5,0,bright
Southern Promise,Dual Purpose,South Africa,10,4,21,21.5,9,25.5,0.5,0,smooth
Southern Promise,Dual Purpose,South Africa,10,4,21,21.5,9,25.5,0.5,0,bitter
Sovereign,Dual Purpose,United Kingdom,5,2.5,28,NA,7.5,NA,3.6,0.5,fruity
Sovereign,Dual Purpose,United Kingdom,5,2.5,28,NA,7.5,NA,3.6,0.5,floral
Sovereign,Dual Purpose,United Kingdom,5,2.5,28,NA,7.5,NA,3.6,0.5,grassy
Sovereign,Dual Purpose,United Kingdom,5,2.5,28,NA,7.5,NA,3.6,0.5,herbal
Sovereign,Dual Purpose,United Kingdom,5,2.5,28,NA,7.5,NA,3.6,0.5,mint
Status,Dual Purpose,United States,13,8.5,33.5,42.5,8.5,17.5,0.5,1,NA
Sterling,Dual Purpose,United States,7.5,5,23.5,46,6,21,14,1,noble
Sterling,Dual Purpose,United States,7.5,5,23.5,46,6,21,14,1,spicy
Sticklebract,Dual Purpose,New Zealand,13.5,7.5,43,52.5,5.5,11.5,6,1.5,pine
Sticklebract,Dual Purpose,New Zealand,13.5,7.5,43,52.5,5.5,11.5,6,1.5,citrus
Super Alpha,Dual Purpose,New Zealand,13.5,7.5,37.5,52.5,6.5,20.5,0.5,1.5,grass
Super Alpha,Dual Purpose,New Zealand,13.5,7.5,37.5,52.5,6.5,20.5,0.5,1.5,pine
Super Alpha,Dual Purpose,New Zealand,13.5,7.5,37.5,52.5,6.5,20.5,0.5,1.5,citrus
Super Pride,Dual Purpose,Australia,14.5,7.5,32,37.5,8,1.5,0.5,1,resin
Super Pride,Dual Purpose,Australia,14.5,7.5,32,37.5,8,1.5,0.5,1,fruit
Super Styrian (Aurora),Dual Purpose,Slovenia,7.5,3.5,24,30,5,19,7,1,noble
Waimea,Dual Purpose,New Zealand,17.5,4.5,29,40,12.5,20,0.5,1.5,pine
Waimea,Dual Purpose,New Zealand,17.5,4.5,29,40,12.5,20,0.5,1.5,citrus
Waimea,Dual Purpose,New Zealand,17.5,4.5,29,40,12.5,20,0.5,1.5,tangelo
Wakatu,Dual Purpose,New Zealand,7,8,29,35.5,8,16,6.699999999999999,0.5,floral
Wakatu,Dual Purpose,New Zealand,7,8,29,35.5,8,16,6.699999999999999,0.5,citrusy
Wakatu,Dual Purpose,New Zealand,7,8,29,35.5,8,16,6.699999999999999,0.5,lime
WGV,Dual Purpose,United Kingdom,6,2.5,37.5,24,13,41.5,2,0.5,earth
WGV,Dual Purpose,United Kingdom,6,2.5,37.5,24,13,41.5,2,0.5,botanical
WGV,Dual Purpose,United Kingdom,6,2.5,37.5,24,13,41.5,2,0.5,floral
WGV,Dual Purpose,United Kingdom,6,2.5,37.5,24,13,41.5,2,0.5,sweet
WGV,Dual Purpose,United Kingdom,6,2.5,37.5,24,13,41.5,2,0.5,fruit
Willamette,Dual Purpose,United States,5,3.5,32.5,50,7.5,25,5.5,1,floral
Willamette,Dual Purpose,United States,5,3.5,32.5,50,7.5,25,5.5,1,incense
Willamette,Dual Purpose,United States,5,3.5,32.5,50,7.5,25,5.5,1,elderberry
