"","variety","type","alpha","beta","cohumulone","myrcene","caryophyllene","humulene","farnesene","total_oil"
"1","Ahtanum®","Aroma",5.5,5.5,32.5,52.5,10.5,18,0.5,0.5
"2","Amarillo®","Aroma",9.5,6.5,22.5,69,3,10,3,1
"3","Aramis","Aroma",7.5,3.5,20.5,40,7,20.5,3,1
"4","Aurora","Aroma",7.5,3,23,22.5,7.5,22.5,7.5,0.5
"5","Blanc","Aroma",10.5,4.5,24,62.5,1,1.5,0.5,1
"6","Bobek","Aroma",5,5,29,37.5,5,16,5.5,2
"7","Brewers Gold","Aroma",8,3.75,44,45.5,8.75,22.5,0.5,1.75
"8","Cascade","Aroma",7,6.5,32.5,52.5,7,17,7.5,1
"9","Citra®","Aroma",13,3.5,22,65,6.5,9.5,0.5,2
"10","Crystal","Aroma",3,5,23,52.5,6,21,0.5,1
"11","East Kent Goldings","Aroma",5,2,29.5,30,12.5,40,0.5,0.5
"12","Ekuanot™","Aroma",14,4.5,33.5,37.5,10,16,0.5,3
"13","Falconer's Flight 7C's®","Aroma",9.5,4.5,24,35,10,27.5,10,1
"14","Falconer's Flight®","Aroma",10.5,4.5,22.5,NA,NA,NA,NA,2.5
"15","Fuggle","Aroma",4.25,2,29,35.5,10,30,4.5,0.5
"16","Gold","Aroma",4.5,4,NA,NA,NA,NA,NA,1.5
"17","Golding","Aroma",4.75,2.5,26,30,13.5,40,0.5,0.5
"18","Golding","Aroma",4.75,2.5,26,30,13.5,40,0.5,0.5
"19","Hallertau","Aroma",4,3.5,21,39.5,11,34,0.5,0.5
"20","Hallertauer Mittelfrüh","Aroma",4,3.5,20.5,15,8.5,32.5,0.5,0.5
"21","Hallertauer Tradition","Aroma",6,4.5,27.5,22.5,12.5,50,0.5,1
"22","HBC 472","Aroma",10,8,44,NA,20,NA,NA,2.5
"23","Hersbrucker","Aroma",4,4.5,22,20,9.5,20,0.5,0.5
"24","Hersbrucker Pure","Aroma",4.5,2,26,23.5,11.5,27,0.5,0
"25","Huell Melon","Aroma",6.5,7,27.5,36,7.5,15,0.5,0
"26","Liberty","Aroma",4,3.5,27,37.5,10.5,37.5,0.5,0.5
"27","Lublin/Lubelski","Aroma",4,2.5,27.5,30,10,37.5,11,0.5
"28","Mandarina Bavaria","Aroma",8.5,5,33,71,3,10,0.5,2
"29","Mosaic®","Aroma",12,3.5,23,51.5,5.5,12.5,0.5,1.5
"30","Motueka","Aroma",6.5,5,29,48,2,3,12.2,0
"31","Mount Hood","Aroma",6.5,6,22.5,60,8.5,20,0.5,1
"32","Pacific Hallertau","Aroma",5.5,6.5,24,45,9.5,27.5,0.5,1.5
"33","Pacifica","Aroma",5.5,5.5,25,12.5,16,50.5,0.5,0.5
"34","Palisade®","Aroma",8,6.5,27,48.5,12,15,NA,1
"35","Riwaka","Aroma",5,4.5,32,68,3.5,8.5,0.5,1
"36","Saaz","Aroma",3.5,3.5,27.5,22.5,11,42.5,8,0
"37","Saaz Triploid B","Aroma",7,5,28.5,70,1.5,2,10,1.5
"38","Santiam","Aroma",6,7,23,31.5,7.5,24.5,15,1
"39","Saphir","Aroma",3,5.5,14.5,32.5,11.5,25,0.5,0.5
"40","Savinjski Golding","Aroma",5,2.5,27.5,30,10,36,3.5,0.5
"41","Select","Aroma",4.5,3.5,24,30,7,16,18.5,0
"42","Spalt","Aroma",4.5,4,22.5,45,5,15,12.5,0.5
"43","Spalter","Aroma",4,4.5,25.5,20,12.5,21.5,12.5,0.5
"44","Spalter Select","Aroma",5,3.5,23,20,9,20,20,0.5
"45","Strisselspalt","Aroma",4,4,22.5,25,9,20,0.5,0
"46","Styrian Golding","Aroma",5,2.5,27.5,30,10,36,3.5,0.5
"47","Summer","Aroma",5.5,5,22.5,33.5,9.5,39,0.5,1.5
"48","Sussex","Aroma",4.5,2.5,37.5,42,NA,23,0.5,0
"49","Sylva","Aroma",6,3.5,22.5,31,6.5,22.5,25,1
"50","Tahoma","Aroma",6.5,7.5,16,60,4,10,0.5,1.5
"51","Tettnanger","Aroma",4.25,3.75,24.25,31.5,7.25,21.5,NA,0.25
"52","Tettnanger","Aroma",4.25,3.75,24.25,31.5,7.25,21.5,14,0.25
"53","Tradition","Aroma",5.5,4.5,27,24.5,12.5,42.5,0.5,0.5
"54","Triplepearl","Aroma",10.5,3.5,NA,NA,NA,9,NA,1
"55","Triskel","Aroma",8.5,4,21.5,60,6,13,0.5,1.5
"56","Ultra","Aroma",2.5,3.5,30.5,20,12.5,42.5,0.5,0.5
"57","Vanguard","Aroma",4.5,5.5,17.5,30,12.5,37.5,0.5,0.5
"58","Wai-iti","Aroma",2.5,4.5,23,NA,8.5,27.5,13,1
"59","Whitbread Golding","Aroma",6,2.5,37.5,23,13,38.5,1.5,0.5
"60","Zythos®","Aroma",11,5,29.5,NA,NA,NA,NA,0.5
"61","Admiral","Bittering",14,5,41,39.5,7,7.5,NA,1
"62","Bravo","Bittering",16.5,4,31.5,57.5,7,9.5,0.5,2.5
"63","Brewers Gold","Bittering",8,3.75,44,45.5,8.75,22.5,0.5,1.75
"64","Chelan","Bittering",13,8.5,34,50,10.5,13.5,0.5,1
"65","Columbus","Bittering",15,4.5,32.5,35,10,20,0.5,1.5
"66","Comet","Bittering",9,4.5,35.5,47.5,12.5,1.5,0.5,1.5
"67","Galena","Bittering",13,8,40,57.5,4,12.5,0.5,0.5
"68","Green Bullet","Bittering",14,6.5,42,65,5,15,0.5,1
"69","Hallertauer Taurus","Bittering",14,3.5,24,30,8.5,30,0.5,1
"70","HBC 682","Bittering",19.5,4.5,31,50,4.5,14,NA,1.5
"71","Herkules","Bittering",14.5,4.5,35,40,9.5,37.5,0.5,1.5
"72","Magnum","Bittering",13.25,5.5,25,33.75,9.75,32.25,0.5,2
"73","Magnum","Bittering",13.25,5.5,25,33.75,9.75,32.25,0.5,2
"74","Merkur","Bittering",13,5,18.5,49,8.5,30.5,0.5,2.5
"75","Millennium","Bittering",16.5,5.5,32,45,9,20,0.5,2
"76","Newport","Bittering",15,8,37,50.5,5.5,11.5,0.5,2
"77","Nugget","Bittering",12.75,4.5,26.5,44.75,8.5,17.25,0.5,1
"78","Nugget","Bittering",12.75,4.5,26.5,44.75,8.5,17.25,0.5,1
"79","Pacific Gem","Bittering",15.5,7.5,38.5,57.5,6,16.5,0.5,1.5
"80","Pacific Sunrise","Bittering",13,6,28.5,50,7.5,22,0.5,1.5
"81","Southern Star","Bittering",13.5,4.5,31,39,15,22,NA,1
"82","Summit™","Bittering",16,5,30.5,35,14,20,0.5,2
"83","Sun","Bittering",14,5.5,35,62.5,7.5,12.5,0.5,3.5
"84","Target","Bittering",10.5,4.5,37,50,9,19.5,0.5,1
"85","Tomahawk®","Bittering",16,5,29,50,8,11.5,0.5,3
"86","Victoria","Bittering",14.5,7,39,37.5,10,15,0.5,1.5
"87","Warrior®","Bittering",16,4.5,25,45,9,17.5,0.5,1.5
"88","Zeus","Bittering",15,5,31,45,10,17.5,0.5,1.5
"89","Bitter Gold","Dual Purpose",13,5,38.5,50,9,14,0.5,1.5
"90","Bramling Cross","Dual Purpose",6.5,2,28.5,37.5,16,30.5,0.5,0.5
"91","Celeia","Dual Purpose",4.5,2.5,27.5,30.5,8.5,20.5,5,1.5
"92","Centennial","Dual Purpose",10,3.5,29.5,50,6.5,14,0.5,1.5
"93","Challenger","Dual Purpose",7,3,22.5,36,9,28.5,2,1
"94","Chinook","Dual Purpose",13,3.5,31.5,37.5,10,22.5,0.5,1.5
"95","Cluster","Dual Purpose",6.5,4.5,39,50,6.5,16.5,0.5,0
"96","Dr. Rudi","Dual Purpose",11,7.5,34.5,29.5,10,33,0.5,1
"97","Ella","Dual Purpose",14.5,5.5,36,45,15,19,0.5,2.5
"98","First Gold","Dual Purpose",6.5,2.5,31.5,27.5,6.5,22,NA,0.5
"99","Fuggle","Dual Purpose",4.25,2,29,35.5,10,30,6,0.5
"100","Galaxy","Dual Purpose",13.5,5.5,37,51,8,1.5,3,4
"101","Glacier","Dual Purpose",6,7,12,47.5,8,30,0.5,0.5
"102","Hallertau Aroma","Dual Purpose",8.5,8,30,55,5.5,12.5,4.5,1.5
"103","HBC 431","Dual Purpose",15,4.5,18,35,13.5,24,NA,1
"104","HBC 438","Dual Purpose",13,5.5,24,63.5,9.5,8,0.5,3
"105","Helga","Dual Purpose",6,6,21.5,7,12.5,45,0.5,0.5
"106","Herald","Dual Purpose",12,4.5,36,40,7,15,0.5,1
"107","Horizon","Dual Purpose",13,7,19.5,67.5,5.5,9,NA,1.5
"108","Hüller Bitterer","Dual Purpose",5.5,4.5,28.5,28,8,21,0.5,1
"109","Kohatu","Dual Purpose",6.5,4.5,21,35.5,11,36.5,0.5,1
"110","Loral®","Dual Purpose",11.5,4.5,22.5,55,5,17,0.5,1.5
"111","Marynka","Dual Purpose",10.5,11.5,29.5,29.5,11.5,29.5,1.5,1.5
"112","Mount Rainier","Dual Purpose",6,9,22,55,8,17.5,0.5,1.5
"113","Nelson Sauvin","Dual Purpose",13,7,24,55,6.5,20,0.5,1.5
"114","Northdown","Dual Purpose",7.5,4.5,27,26,15,42.5,0.5,1.5
"115","Northern Brewer","Dual Purpose",8.25,4,30.75,37.5,14,35.75,0.5,1.25
"116","Northern Brewer","Dual Purpose",8.25,4,30.75,37.5,14,35.75,0.5,1.25
"117","Opal","Dual Purpose",13.5,3.5,31,37.5,10,22.5,NA,0.5
"118","Orion","Dual Purpose",7,3.5,28.5,26.5,11,37,0.5,0.5
"119","Outeniqua","Dual Purpose",12.5,4.5,29,40.5,9.5,30.5,0.5,1
"120","Pacific Jade","Dual Purpose",13,7.5,24,33.5,10,32,0.5,1
"121","Perle","Dual Purpose",7,4,29.75,35.5,10,32.25,0.5,0.25
"122","Perle","Dual Purpose",7,4,29.75,35.5,10,32.25,0.5,0.25
"123","Phoenix","Dual Purpose",13.5,4,26,28,9,28.5,1.5,1.5
"124","Pilgrim","Dual Purpose",11.5,4.5,37,30,7.5,17,0.5,1.5
"125","Pioneer","Dual Purpose",9,3.5,38,33.5,7.5,23,0.5,1
"126","Polaris","Dual Purpose",20.5,5,25,50,10.5,27.5,0.5,4.5
"127","Premiant","Dual Purpose",8.5,4,20.5,37.5,11,32.5,2,1.5
"128","Pride of Ringwood","Dual Purpose",10.5,5,36,37.5,7.5,5.5,0.5,1.5
"129","Progress","Dual Purpose",6.5,2,30.5,32.5,13.5,43.5,0.5,0
"130","Rakau","Dual Purpose",10.5,5.5,24,56,5,16,4.5,2
"131","Simcoe®","Dual Purpose",13,4.5,17.5,62.5,6.5,12.5,0.5,2
"132","Smaragd","Dual Purpose",5,4,15.5,30,11.5,NA,0.5,0
"133","Sorachi Ace","Dual Purpose",12.5,6.5,26.5,50,9,23,3.5,2
"134","Southern Brewer","Dual Purpose",9.5,3.5,39.5,41,9.5,19,NA,1
"135","Southern Cross","Dual Purpose",13,5.5,26.5,62.5,4,12,4,1.5
"136","Southern Promise","Dual Purpose",10,4,21,21.5,9,25.5,0.5,0
"137","Sovereign","Dual Purpose",5,2.5,28,NA,7.5,NA,3.6,0.5
"138","Status","Dual Purpose",13,8.5,33.5,42.5,8.5,17.5,0.5,1
"139","Sterling","Dual Purpose",7.5,5,23.5,46,6,21,14,1
"140","Sticklebract","Dual Purpose",13.5,7.5,43,52.5,5.5,11.5,6,1.5
"141","Super Alpha","Dual Purpose",13.5,7.5,37.5,52.5,6.5,20.5,0.5,1.5
"142","Super Pride","Dual Purpose",14.5,7.5,32,37.5,8,1.5,0.5,1
"143","Super Styrian (Aurora)","Dual Purpose",7.5,3.5,24,30,5,19,7,1
"144","Waimea","Dual Purpose",17.5,4.5,29,40,12.5,20,0.5,1.5
"145","Wakatu","Dual Purpose",7,8,29,35.5,8,16,6.7,0.5
"146","WGV","Dual Purpose",6,2.5,37.5,24,13,41.5,2,0.5
"147","Willamette","Dual Purpose",5,3.5,32.5,50,7.5,25,5.5,1
